question_id,category,context_size,mode,oom,exact_match,numeric_preservation,gold_recall,suffix_error
Q0042,A,50,old_predictor,False,True,True,True,False
Q0042,A,50,new_predictor,False,True,True,True,False
Q0042,A,50,hybrid,False,True,True,True,False
Q0042,A,50,full_context,False,True,True,True,False
Q0157,B,50,old_predictor,False,True,True,True,False
Q0157,B,50,new_predictor,False,True,True,True,False
Q0157,B,50,hybrid,False,True,True,True,False
Q0157,B,50,full_context,False,True,True,True,False
Q0249,C,50,old_predictor,False,True,True,True,False
Q0249,C,50,new_predictor,False,True,True,True,False
Q0249,C,50,hybrid,False,True,True,True,False
Q0249,C,50,full_context,False,True,True,True,False
Q0356,D,50,old_predictor,False,False,False,True,False
Q0356,D,50,new_predictor,False,True,True,True,False
Q0356,D,50,hybrid,False,True,True,True,False
Q0356,D,50,full_context,False,True,True,True,False
Q0476,E,50,old_predictor,False,True,True,True,False
Q0476,E,50,new_predictor,False,True,True,True,False
Q0476,E,50,hybrid,False,True,True,True,False
Q0476,E,50,full_context,False,True,True,True,False
Q0042,A,200,old_predictor,False,True,True,True,False
Q0042,A,200,new_predictor,False,True,True,True,False
Q0042,A,200,hybrid,False,True,True,True,False
Q0042,A,200,full_context,False,True,True,True,False
Q0157,B,200,old_predictor,False,True,True,True,False
Q0157,B,200,new_predictor,False,True,True,True,False
Q0157,B,200,hybrid,False,True,True,True,False
Q0157,B,200,full_context,False,True,True,True,False
Q0249,C,200,old_predictor,False,True,True,True,False
Q0249,C,200,new_predictor,False,True,True,True,False
Q0249,C,200,hybrid,False,True,True,True,False
Q0249,C,200,full_context,False,True,True,True,False
Q0356,D,200,old_predictor,False,False,False,True,False
Q0356,D,200,new_predictor,False,True,True,True,False
Q0356,D,200,hybrid,False,True,True,True,False
Q0356,D,200,full_context,False,True,True,True,False
Q0476,E,200,old_predictor,False,True,True,True,False
Q0476,E,200,new_predictor,False,True,True,True,False
Q0476,E,200,hybrid,False,True,True,True,False
Q0476,E,200,full_context,False,True,True,True,False
Q0042,A,400,old_predictor,False,True,True,True,False
Q0042,A,400,new_predictor,False,True,True,True,False
Q0042,A,400,hybrid,False,True,True,True,False
Q0042,A,400,full_context,False,True,True,True,False
Q0157,B,400,old_predictor,False,True,True,True,False
Q0157,B,400,new_predictor,False,True,True,True,False
Q0157,B,400,hybrid,False,True,True,True,False
Q0157,B,400,full_context,False,True,True,True,False
Q0249,C,400,old_predictor,False,True,True,True,False
Q0249,C,400,new_predictor,False,True,True,True,False
Q0249,C,400,hybrid,False,True,True,True,False
Q0249,C,400,full_context,False,True,True,True,False
Q0356,D,400,old_predictor,False,False,False,True,False
Q0356,D,400,new_predictor,False,True,True,True,False
Q0356,D,400,hybrid,False,True,True,True,False
Q0356,D,400,full_context,False,True,True,True,False
Q0476,E,400,old_predictor,False,True,True,True,False
Q0476,E,400,new_predictor,False,True,True,True,False
Q0476,E,400,hybrid,False,True,True,True,False
Q0476,E,400,full_context,False,True,True,True,False
