question_id,category,mode,expected,answer,exact_match,numeric_preservation,active_truth,gold_recall,input_tokens,kept_blocks,ttft_ms
Q0000,A,full,21 February 2027,"According to the document, the active delivery date for Project APEX-0 is 21 February 2027.",true,true,true,true,6452,50,4383.55
Q0000,A,visibility,21 February 2027,"According to the context, Project APEX-0 has an active delivery date of 21 February 2027.",true,true,true,true,1838,16,1841.17
Q0000,A,random,21 February 2027,"I apologize, but I don't have enough context or information to determine the specific project or project code you're referring to. Without knowing which particular project or project code you're asking about, it's impossible to provide an accurate answer regarding the active delivery date for Project APEX-0. Could you please provide more",false,false,false,false,1903,16,3791.85
Q0000,A,bm25,21 February 2027,"According to the context provided, the active delivery date for Project APEX-0 is 21 February 2027.",true,true,true,true,1814,16,1813.46
Q0001,A,full,25 August 2027,"According to the information provided, the active delivery date for Project BEACON-1 is ""25 August 2027"". This means that it has been assigned a specific date by which the project can be completed or terminated.",false,true,false,true,6452,50,5478.24
Q0001,A,visibility,25 August 2027,"According to the context, Project BEACON-1 has an active delivery date of 25 August 2027.",true,true,true,true,1819,16,2075.96
Q0001,A,random,25 August 2027,"According to the context, Project BEACON-1 has an active delivery date of 25 August 2027.",true,true,true,true,1834,16,2186.37
Q0001,A,bm25,25 August 2027,"According to the given context, the active delivery date for Project BEACON-1 is stated as ""25 August 2027"".",false,true,false,true,1819,16,2149.57
Q0002,A,full,10 November 2027,"According to the document, Project CHRONOS-2 has an ""Active Delivery Date"" of 10 November 2027. This indicates that the project is currently being developed and will be available for use starting from this date.",false,true,false,true,6452,50,6064.63
Q0002,A,visibility,10 November 2027,The active delivery date for Project CHRONOS-2 is 10 November 2027.,true,true,true,true,1827,16,1774.08
Q0002,A,random,10 November 2027,"I apologize, but I do not have enough information to determine the exact active delivery date for Project CHRONOS-2 without additional context or details about that project's timeline or specific dates mentioned in the given text. Without more detailed information such as:

1. The name of the project
2. The start and end",false,false,false,false,1905,16,4198.24
Q0002,A,bm25,10 November 2027,"According to the information provided in the context, the active delivery date for Project CHRONOS-2 is 10 November 2027.",false,true,false,true,1819,16,2268.95
Q0003,A,full,27 November 2027,"According to the document, Project DAWN-3 has an ""active delivery date"" of 27 November 2027.",true,true,true,true,6451,50,3966.75
Q0003,A,visibility,27 November 2027,"According to the context, Project DAWN-3 has an active delivery date of 27 November 2027.",true,true,true,true,1827,16,2091.45
Q0003,A,random,27 November 2027,The active delivery date for Project DAWN-3 is 27 November 2027.,true,true,true,true,1843,16,1518.13
Q0003,A,bm25,27 November 2027,The active delivery date for Project DAWN-3 is 27 November 2027.,true,true,true,true,1811,16,1432.23
Q0004,A,full,08 November 2027,"According to the given text, Project ECLIPSE-4 has an ""active delivery date"" of 08 November 2027.",true,true,true,true,6453,50,4558.63
Q0004,A,visibility,08 November 2027,"According to the given context, the active delivery date for Project ECLIPSE-4 is 08 November 2027.",true,true,true,true,1833,16,2174.96
Q0004,A,random,08 November 2027,"To determine the active delivery date for Project ECLIPSE-4, I'll need to look at the project's timeline and milestones. However, without specific details about the project's structure or any additional information not included in the given context (like dates of key milestones), I can't provide an exact answer here.",false,false,false,false,1916,16,4420.79
Q0004,A,bm25,08 November 2027,"According to the information provided, the active delivery date for Project ECLIPSE-4 is ""08 November 2027"". This can be found in the last sentence of the given text: ""Project ECLIPSE-4"" indicates that it's a project with the ID F-00",false,true,false,true,1819,16,5321.23
Q0005,A,full,22 April 2027,"According to the information provided, the active delivery date for Project FALCON-5 is ""22 April 2027"".",false,true,false,true,6452,50,6107.33
Q0005,A,visibility,22 April 2027,"According to the context, the active delivery date for Project FALCON-5 is 22 April 2027.",true,true,true,true,1810,16,2700.99
Q0005,A,random,22 April 2027,"According to the provided context, the active delivery date for Project FALCON-5 is not explicitly stated in the given information. However, it can be inferred that this project likely has an active status as it involves multiple deliverables or milestones related to different phases of development. To obtain the exact date of active delivery for",false,false,false,false,1906,16,6129.38
Q0005,A,bm25,22 April 2027,"According to the context, the active delivery date for Project FALCON-5 is 22 April 2027.",true,true,true,true,1821,16,2864.12
Q0006,A,full,24 October 2027,"According to the information provided, Project GENESIS-6 has an active delivery date of 24 October 2027. This means that it is currently in the process of being developed and implemented, with a planned start date of October 24th, 2027.",false,true,false,true,6451,50,9011.06
Q0006,A,visibility,24 October 2027,"According to the given context, Project GENESIS-6 has an active delivery date of 24 October 2027.",true,true,true,true,1830,16,2742.28
Q0006,A,random,24 October 2027,"I apologize, but I don't have enough context or information to determine the exact project name or specific details about the ""Project GENESIS-6"" in question. Without knowing which particular project this refers to, it's difficult to provide an accurate answer regarding its active delivery date. To accurately find this information, you would",false,false,false,false,1909,16,5580.17
Q0006,A,bm25,24 October 2027,The active delivery date for Project GENESIS-6 is 24 October 2027.,true,true,true,true,1828,16,2246.58
Q0007,A,full,22 July 2027,The active delivery date for Project HELIOS-7 is 22 July 2027.,true,true,true,true,6451,50,4962.87
Q0007,A,visibility,22 July 2027,The active delivery date for Project HELIOS-7 is 22 July 2027.,true,true,true,true,1815,16,2098.12
