question_id,category,context_blocks,mode,oom,exact_match,numeric_preservation,gold_recall,evidence_block_recall,contradiction_accuracy,multi_fact_recall,kept_blocks,token_reduction_pct,selector_latency_ms,retrieval_latency_ms,ttft_ms,decode_ms,tokens_per_second,peak_vram_mb,est_kv_mb,max_batch_size
Q0042,A,50,full,False,True,True,True,True,True,True,50,0.0,0.0,0.0,12391.350699999748,4076.1856000008265,15.70095336188495,8055.93359375,209.390625,1
Q0042,A,50,dense,False,True,True,True,True,True,True,12,76.0,0.0,8.871800000633812,121.44549999902665,5873.75289999909,10.89592992582475,6602.09716796875,56.109375,3
Q0042,A,50,hybrid,False,True,True,True,True,True,True,12,76.0,0.0,18.10250000016822,115.57989999892015,4831.965399998808,13.24512795559666,6602.09716796875,56.109375,3
Q0042,A,50,predictor,False,True,True,True,True,True,True,12,76.0,49.74399999991874,0.0,124.76710000009916,4757.615000000442,13.452118340806066,6599.66748046875,55.7578125,3
Q0041,A,50,full,False,True,True,True,True,True,True,50,0.0,0.0,0.0,5098.8856999993,15345.02049999901,3.975230922630826,8044.87841796875,208.125,1
Q0041,A,50,dense,False,True,True,True,True,True,True,12,76.0,0.0,8.399300000746734,130.73930000064138,4731.324300000779,13.526868154015455,6602.39599609375,56.14453125,3
Q0041,A,50,hybrid,False,True,True,True,True,True,True,12,76.0,0.0,13.419000000794767,122.94540000038978,5105.100299999322,12.536482388016648,6602.39599609375,56.14453125,3
Q0041,A,50,predictor,False,True,True,True,True,True,True,12,76.0,32.40940000068804,0.0,122.05739999990328,5006.086699999287,12.78443699347219,6598.06982421875,55.6875,3
Q0091,A,50,full,False,True,True,True,True,True,True,50,0.0,0.0,0.0,5530.443900001046,18697.89430000128,3.422845320074123,8049.9833984375,208.79296875,1
Q0091,A,50,dense,False,True,True,True,True,True,True,13,74.0,0.0,8.988800000224728,161.28410000055737,5210.341699999844,12.283263494983816,6643.42626953125,60.46875,3
Q0091,A,50,hybrid,False,True,True,True,True,True,True,13,74.0,0.0,16.819700000269222,142.65549999981886,5591.434899999513,11.44607800047991,6643.42626953125,60.46875,3
Q0091,A,50,predictor,False,True,True,True,True,True,True,13,74.0,23.970700000063516,0.0,134.0187000005244,5322.134600000936,12.025250169356623,6637.00439453125,59.80078125,3
Q0009,A,50,full,False,True,True,True,True,True,True,50,0.0,0.0,0.0,5320.871199999601,15148.705200001132,4.158771272411803,8052.50732421875,209.0390625,1
Q0009,A,50,dense,False,True,True,True,False,True,True,13,74.0,0.0,12.805500000467873,142.84679999946093,5474.269899999854,11.691056737995638,6645.64111328125,60.64453125,3
Q0009,A,50,hybrid,False,True,True,True,False,True,True,13,74.0,0.0,19.21349999975064,139.70990000052552,4921.17799999869,13.005016278626181,6645.64111328125,60.64453125,3
Q0009,A,50,predictor,False,True,True,True,True,True,True,13,74.0,31.076900000698515,0.0,140.35710000098334,4730.836700000509,13.528262347333424,6638.78173828125,59.94140625,3
Q0065,A,50,full,False,True,True,True,True,True,True,50,0.0,0.0,0.0,566.71710000046,8651.725699999588,7.3973681343137185,8047.75,208.546875,1
Q0065,A,50,dense,False,True,True,True,False,True,True,13,74.0,0.0,8.39300000006915,227.869100001044,5551.233600001069,11.528968984477194,6643.42626953125,60.46875,3
Q0065,A,50,hybrid,False,True,True,True,False,True,True,13,74.0,0.0,13.392299999395618,145.17160000104923,4755.644499999107,13.457692222371124,6643.42626953125,60.46875,3
Q0065,A,50,predictor,False,True,True,True,True,True,True,13,74.0,25.005700001202058,0.0,136.75900000089314,4235.54569999942,15.11021354344229,6636.43798828125,59.66015625,3
Q0050,A,50,full,False,True,True,True,True,True,True,50,0.0,0.0,0.0,5366.237000000183,15688.242800000808,4.0794881119507345,8049.9833984375,208.79296875,1
Q0050,A,50,dense,False,True,True,True,True,True,True,13,74.0,0.0,8.6715000015829,134.03540000035719,4702.496900001279,13.609791002729336,6638.82470703125,59.9765625,3
Q0050,A,50,hybrid,False,True,True,True,True,True,True,13,74.0,0.0,14.286600000559702,146.53069999985746,5094.006799999988,12.56378377822349,6638.82470703125,59.9765625,3
Q0050,A,50,predictor,False,True,True,True,True,True,True,13,74.0,22.177600001668907,0.0,137.0100000003731,5290.9051000006,12.096229055401643,6638.78173828125,59.94140625,3
Q0001,A,50,full,False,True,True,True,True,True,True,50,0.0,0.0,0.0,5393.5215000001335,15701.84579999841,4.075953923837826,8047.75,208.546875,1
Q0001,A,50,dense,False,True,True,True,True,True,True,13,74.0,0.0,8.745800001634052,152.40780000021914,5196.699799998896,12.315508392463538,6639.33349609375,60.046875,3
Q0001,A,50,hybrid,False,True,True,True,True,True,True,13,74.0,0.0,12.349499998890678,137.08890000089013,4864.467800000057,13.156629385027331,6639.33349609375,60.046875,3
