question_id,category,mode,expected,answer,exact_match,numeric_preservation,gold_recall,kept_blocks,input_tokens,ttft_ms,oracle_exact_match
Q0400,E,predictor,16 July 2027,"According to the context provided, the active delivery date for Project APEX-400 is 27 November 2027.",false,false,true,14,1333,2283.56,false
Q0400,E,random,16 July 2027,"According to the provided context, the active delivery date for Project APEX-400-A is ""27 November 2027"". This can be seen in the last row of the table, where it lists ""Active delivery date: 27 November 2027"" under the Project",false,false,false,14,1612,4030.81,false
Q0400,E,dense,16 July 2027,"Based on the information provided in the context, the active delivery date for Project APEX-400 is 27 November 2027.",false,false,true,14,1342,2107.37,false
Q0400,E,hybrid,16 July 2027,"According to the context, Project APEX-400 has an active delivery date of 02 February 2027.",false,false,true,14,1342,1951.20,false
Q0401,E,predictor,24 May 2027,"According to the given context, Project BEACON-401 has an active delivery date of 05 May 2027.",false,false,true,15,1445,1717.60,false
Q0401,E,random,24 May 2027,"Based on the information provided in the context, there is no specific mention of an active delivery date for Project BEACON-401. The context only discusses various strategic initiatives related to different departments within a company, without providing details about any particular project or delivery dates. Therefore, it's not possible to determine the",false,false,false,15,1794,3669.54,false
Q0401,E,dense,24 May 2027,The active delivery date for Project BEACON-401 is 05 May 2027.,false,false,true,15,1465,1948.96,false
Q0401,E,hybrid,24 May 2027,The active delivery date for Project BEACON-401 is 05 May 2027.,false,false,true,15,1465,1675.75,false
Q0402,E,predictor,03 February 2027,"According to the context, Project CHRONOS-402 has an active delivery date of 07 July 2027.",false,false,true,15,1444,2338.69,false
Q0402,E,random,03 February 2027,"To answer this question, I'll need more specific information about the project and its timeline. However, generally speaking:

If we're referring to a project with a specific date (like ""Project CHRONOS-402""), the most common way to find out what the active delivery date is would be through the project",false,false,false,15,1786,3894.26,false
Q0402,E,dense,03 February 2027,The active delivery date for Project CHRONOS-402 is 07 July 2027.,false,false,true,15,1458,1752.28,false
Q0402,E,hybrid,03 February 2027,The active delivery date for Project CHRONOS-402 is 07 July 2027.,false,false,true,15,1458,1568.47,false
Q0403,E,predictor,15 May 2027,"Based on the information provided, the active delivery date for Project DAWN-403 is 15 May 2027.",false,true,true,14,1325,1613.74,false
Q0403,E,random,15 May 2027,"According to the information provided, the active delivery date for Project DAWN-403-A is 28 July 2027.",false,false,false,14,1624,1686.26,false
Q0403,E,dense,15 May 2027,"According to the context, the active delivery date for Project DAWN-403 is 15 May 2027.",false,true,true,14,1340,1649.70,false
Q0403,E,hybrid,15 May 2027,The active delivery date for Project DAWN-403 is 28 July 2027.,false,false,true,14,1340,1415.65,false
Q0404,E,predictor,10 July 2027,"According to the context, Project ECLIPSE-404 has an Active Delivery Date of 10 July 2027.",false,true,true,14,1330,1722.27,true
Q0404,E,random,10 July 2027,The active delivery date for Project ECLIPSE-404-A was 02 June 2027.,false,false,false,14,1618,1897.66,true
Q0404,E,dense,10 July 2027,The active delivery date for Project ECLIPSE-404 is 20 September 2027.,false,false,true,14,1346,1847.43,true
Q0404,E,hybrid,10 July 2027,"According to the given context, Project ECLIPSE-404 has an active delivery date of 20 September 2027.",false,false,true,14,1346,2434.11,true
Q0405,E,predictor,09 September 2027,"According to the given information, Project FALCON-405 has an active delivery date of 12 September 2027.",false,false,true,16,1564,1818.76,false
Q0405,E,random,09 September 2027,The active delivery date for Project FALCON-405 is 09 September 2027.,true,true,true,16,1768,1722.40,false
Q0405,E,dense,09 September 2027,"According to the information provided, Project FALCON-405 has an active delivery date of 09 September 2027.",true,true,true,16,1565,1723.15,false
Q0405,E,hybrid,09 September 2027,"According to the given information, Project FALCON-405 has an active delivery date of September 12, 2027.",false,false,true,16,1565,1738.03,false
Q0406,E,predictor,21 October 2027,"According to the given context, Project GENESIS-406 has an active delivery date of 21 October 2027.",true,true,true,16,1551,1687.61,true
Q0406,E,random,21 October 2027,"According to the given text, the active delivery date for Project GENESIS-406 (which appears to be a project number) is not explicitly stated in the provided context. However, based on typical practices in project management literature:

1. A project can have multiple phases or stages.
2. The ""active delivery",false,false,false,16,1906,3393.32,true
Q0406,E,dense,21 October 2027,The active delivery date for Project GENESIS-406 is 17 July 2027.,false,false,true,16,1575,1439.82,true
Q0406,E,hybrid,21 October 2027,The active delivery date for Project GENESIS-406 is 17 July 2027.,false,false,true,16,1575,1801.10,true
Q0407,E,predictor,13 August 2027,The active delivery date for Project HELIOS-407 is 03 November 2027.,false,false,true,15,1437,2081.27,false
Q0407,E,random,13 August 2027,The active delivery date for Project HELIOS-407-A is 07 May 2027.,false,false,false,15,1725,1975.65,false
Q0407,E,dense,13 August 2027,The active delivery date for Project HELIOS-407 is 03 November 2027.,false,false,true,15,1439,1807.55,false
Q0407,E,hybrid,13 August 2027,"According to the information provided, the active delivery date for Project HELIOS-407 is 13 August 2027.",false,true,true,15,1439,1962.97,false
Q0408,E,predictor,16 June 2027,"Based on the information provided in the context, the active delivery date for Project IRIS-408 is 12 November 2027.",false,false,true,15,1445,2025.00,false
Q0408,E,random,16 June 2027,The active delivery date for Project IRIS-408 is 16 June 2027.,true,true,true,15,1596,1436.35,false
Q0408,E,dense,16 June 2027,The active delivery date for Project IRIS-408 is 16 June 2027.,true,true,true,15,1454,1281.42,false
Q0408,E,hybrid,16 June 2027,The active delivery date for Project IRIS-408 is 12 November 2027.,false,false,true,15,1454,1514.38,false
Q0409,E,predictor,04 August 2027,"Based on the information provided in the context, the active delivery date for Project JUPITER-409 is 04 August 2027.",false,true,true,14,1329,1898.09,false
Q0409,E,random,04 August 2027,The active delivery date for Project JUPITER-409 is 15 June 2027.,false,false,false,14,1541,1362.51,false
Q0409,E,dense,04 August 2027,"According to the context, Project JUPITER-409 has an active delivery date of 12 November 2027.",false,false,true,14,1342,1664.43,false
Q0409,E,hybrid,04 August 2027,The active delivery date for Project JUPITER-409 is 12 November 2027.,false,false,true,14,1342,1617.60,false
Q0410,E,predictor,17 February 2027,"Based on the information provided, the active delivery date for Project KRONOS-410 is 13 April 2027.",false,false,true,15,1437,2470.98,false
Q0410,E,random,17 February 2027,"According to the given context, the active delivery date for Project KRONOS-410-A is 24 November 2027.",false,false,true,15,1659,2648.86,false
Q0410,E,dense,17 February 2027,"According to the given context, Project KRONOS-410 has an active delivery date of 13 April 2027.",false,false,true,15,1453,1976.61,false
Q0410,E,hybrid,17 February 2027,"Based on the information provided in the context, the active delivery date for Project KRONOS-410 is 13 April 2027. This can be seen from the FACT_ID (Fact Object ID) field of DOC_0000, which lists Project KRONOS-41",false,false,true,15,1453,3675.37,false
Q0411,E,predictor,08 May 2027,"Based on the information provided, the active delivery date for Project LUNA-411 is 09 October 2027.",false,false,true,15,1443,1918.11,false
Q0411,E,random,08 May 2027,The active delivery date for Project LUNA-411 was 22 June 2027.,false,false,false,15,1725,1664.01,false
Q0411,E,dense,08 May 2027,"According to the context, Project LUNA-411 has an active delivery date of 08 May 2027.",false,true,true,15,1460,1645.58,false
